ROW,REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED_CAPACITY,PROGRAM_GENERATION,ACTUAL_GENERATION
172,REG2,17-Mar,WESTERN,GUJARAT,CENTRAL,NUCLEAR,NUCLEAR,NPCIL,KAKRAPARA,440,280,0
173,REG5,17-Mar,NORTH EASTERN,ASSAM,STATE,HYDRO,HYDRO,APGPCL,KARBI LANGPI  HPS.,100,6,11.75
174,REG1,17-Mar,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,OBRA TPS,1278,470,437.07
175,REG4,17-Mar,EASTERN,JHARKHAND,PVT,THERMAL,COAL,TATA PCL,JOJOBERA TPS,360,217,100.92
176,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,THERMAL,NATURAL GAS,TNGDCL,KOVIKALPAL CCPP,107.88,32,22.98
177,REG1,17-Mar,NORTHERN,DELHI,PVT,THERMAL,NATURAL GAS,NDPL,RITHALA CCPP,108,0,0
178,REG5,17-Mar,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,NATURAL GAS,NEEPCO.,AGARTALA GT,135,77,71.63
179,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,TSGENCO,KOTHAGUDEM TPS (NEW),1000,590,706.15
180,REG4,17-Mar,EASTERN,SIKKIM,CENTRAL,HYDRO,HYDRO,NHPC,TEESTA V HPS,510,105,121.1
181,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,PANNIAR  HPS.,30,11,0.54
182,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,CHUTAK HPS,44,4,3.69
183,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,LOWER JURALA HPS,240,2,0
184,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,PULICHINTALA HPS,30,2,0
185,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,THERMAL,COAL,DVC,KODARMA TPP,1000,298,322.23
186,REG2,17-Mar,WESTERN,CHHATTISGARH,PVT,THERMAL,COAL,SVPPL,SVPL TPP,63,8,37.43
187,REG2,17-Mar,WESTERN,GUJARAT,PVT,THERMAL,COAL,CGPL,MUNDRA UMTPP,4000,2422,2914.52
188,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,STATE,HYDRO,HYDRO,JKSPDC,BAGLIHAR II  HPS,450,0,37.04
189,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,NATURAL GAS,KONDAPALI,KONDAPALLI ST3 CCPP,742,42,0
190,REG1,17-Mar,NORTHERN,UTTARAKHAND,PVT,THERMAL,NATURAL GAS,GIPL,GAMA CCPP,225,0,70.99
191,REG4,17-Mar,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPC Ltd.,BARH I,0,NA,0
192,REG5,17-Mar,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,PARE HPS,0,27,0
193,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPPCL,SAINJ HPS,0,10,0
194,REG4,17-Mar,EASTERN,SIKKIM,PVT,HYDRO,HYDRO,DEPL,TASHIDING HPS,0,10,0
195,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,MUNPL,MEJA STPP,0,NA,0
196,REG4,17-Mar,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,SANTALDIH TPS,500,316,356.03
197,REG3,17-Mar,SOUTHERN,KARNATAKA,PVT,THERMAL,DIESEL,TATA PCL,BELGAUM DG,81.3,0,0
198,REG3,17-Mar,SOUTHERN,KARNATAKA,PVT,THERMAL,DIESEL,BELLARY,BELLARY DG,25.2,0,0
199,REG1,17-Mar,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,KOTLA  HPS,77.65,36,38.77
200,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KULHAL  HPS,30,13,3.85
